HolderAddress,Balance
0xeF0D517024EED7c8D46dcBd7d9431447feEa1d87,146519527.254337096190823252
0x3E80CFd39fe4aC207D674741156A29d9a9AabDe5,145181603.114820848128836527
0x4e3468951D49f2EEa976eD0D6e75fFCb44a9a544,145002246.296631322966743568
0x1B3A58c13723fd200258Cd2B4bD2708dF0cd5b46,144905451.623860487863797796
0x3875Cf68C36c223bbe9046EB60dd97376d90D498,142679472.006854050423796399
0xB2d5aa1f438a5B8D5C8CbE19F05Efb1f53080E9e,142438429.962812115697857809
0x4f82e73EDb06d29Ff62C91EC8f5Ff06571bdeb29,139410622.56638819222196361
0x23cB7A5b51e5795e9C9cFFA1963C83305dFb6a8f,135172799.888628407769592358
0x285c6C5BB53508A72dCf8E63E44BF0ae69bAABe9,134908157.499373756780752751
0x21d29BB977ef8635f32975F0893424185E6e5176,133868560.736039896313057939
0xeb3d2566CB66EDd6FbDF214FAf1D72E1f67dC425,132322095.735530898797291736
0xadf471dA503c9bE8D6B51B22A142747216da94a5,131349072.965308055219450855
0x63993C0094399d77A7C49B6669eDC1A971C68287,131225906.313908222783488538
0xf29Bfd92376CD48E63Fe9CAf815Cd0845E82618c,131017455.455566531764806929
0x453605C7400f902097a797dD99E170a355E77b63,130788228.514980283671139421
0xB290052d2Dc6BFE8Dc5fFf61CE67200147bB42BD,129299340.666882397937655783
0x2Eb84C206561b0F8773F8039508EFCD6a3F62cDe,127368146.073347437506930512
0x5f3ADA916b3D4f6964e99828BF4F9c58aAE85ce2,126159717.211399248510930575
0xc06AfF4273c51F33D73dd931F41578542cE79515,125690901.295078922192766152
0x1303Db2eBcEC8eBe990989f99B94EF081507E753,125510978.553943144705071646
0x49d501F603E3f2728b79E087095516e3Af4C7D47,124282878.066408034824771158
0x9B5C716Ab00C152a16cB3bd73BD16c297689de40,122496701.403776189049561113
0xd368306cdb2e5ef8F5B978B841C56d4Cd8Af2B08,120341328.371749274341249
0x1bF9E891F0970101913248FBE21B75595933b145,118310781.09797140365522444
0x21AAfD05e9229Ccc4828E382946750CF4205C873,115848557.575074866831470864
0x9690f281c397F7964CbD6AcA8cA56e28b15e91Ee,111098485.096055683683596292
0x240c89d718b6F48a395297c2f441b3aaf78ae592,110100732.945119039372072427
0xD8Ad1DCd153ae1aF43Fa776fC48672731061EFE8,107620568.504061288789907547
0x7791BBdF65010E96d4df13d2D982Ce9Ea3132502,106869316.500112535887785005
0x77956625f1d266695916f3BdEC96758C9A78A3FD,105927411.770808062564454189
0x7422D41b322e2F0846e50860444C09645e78a995,105706466.053771407273803347
0x5db8022E7C2C2FCE8bf7f1A3d4c5549F00e84428,104776314.315053824867294414
